district,state,health_need_score,need_indicators_available
Saharsa,Bihar,41.1,22
Munger,Bihar,40.92,22
Sivasagar,Assam,40.81,19
Koriya,Chhattisgarh,40.79,18
Bhojpur,Bihar,40.78,22
Wokha,Nagaland,40.74,18
Baleshwar,Odisha,40.66,22
Simdega,Jharkhand,40.65,22
Udalguri,Assam,40.61,19
Jogulamba Gadwal,Telangana,40.53,19
Yadadri Bhuvanagiri,Telangana,40.51,19
Kurnool,Andhra Pradesh,40.47,19
Mahabubabad,Telangana,40.39,19
Bhadrak,Odisha,40.38,22
Peddapalli,Telangana,40.36,19
Kurukshetra,Haryana,40.33,22
Sagar,Madhya Pradesh,40.33,22
Korba,Chhattisgarh,40.33,19
Nizamabad,Telangana,40.33,22
North Garo Hills,Meghalaya,40.3,19
Sukma,Chhattisgarh,40.29,19
Imphal East,Manipur,40.28,22
Majuli,Assam,40.25,19
East Kameng,Arunachal Pradesh,40.24,22
Chandel,Manipur,40.14,19
Chandel,Mizoram,40.14,19
Bara Banki,Uttar Pradesh,40.1,19
Bid,Maharastra,40.09,22
Sambalpur,Odisha,40.07,18
Dhaulpur,Rajasthan,40.03,22
New Delhi,NCT of Delhi,40.01,19
Central,NCT of Delhi,39.94,19
Buxar,Bihar,39.89,22
Alappuzha,Kerala,39.88,19
Khagaria,Bihar,39.85,22
Pune,Maharastra,39.85,19
Thoubal,Manipur,39.79,19
Kodagu,Karnataka,39.74,18
Dima Hasao,Assam,39.72,19
Bhagalpur,Bihar,39.68,22
Sonitpur,Assam,39.66,19
Unakoti,Tripura,39.66,19
Dhule,Maharastra,39.65,22
Faridkot,Punjab,39.58,22
Sehore,Madhya Pradesh,39.55,22
Rajnandgaon,Chhattisgarh,39.53,18
Shahid Bhagat Singh Nagar,Punjab,39.51,18
Hazaribagh,Jharkhand,39.49,22
Satara,Maharastra,39.43,22
Ramgarh,Jharkhand,39.43,22
Chitradurga,Karnataka,39.35,19
Jamtara,Jharkhand,39.31,22
Kandhamal,Odisha,39.3,18
Ukhrul,Manipur,39.26,19
South Tripura,Tripura,39.26,22
Rajanna Sircilla,Telangana,39.23,19
Lakhisarai,Bihar,39.22,22
Nabarangapur,Odisha,39.21,18
Kolasib,Mizoram,39.21,18
Mandsaur,Madhya Pradesh,39.2,18
Thiruvananthapuram,Kerala,39.2,19
Mahe,Puducherry,39.15,18
Ambala,Haryana,39.14,19
Mahrajganj,Uttar Pradesh,39.12,19
Jalgaon,Maharastra,39.12,19
Komaram Bheem Asifabad,Telangana,39.02,19
The Nilgiris,Tamil Nadu,39.01,18
Palakkad,Kerala,38.96,19
Idukki,Kerala,38.88,19
Gumla,Jharkhand,38.87,19
Siddipet,Telangana,38.87,19
Morigaon,Assam,38.85,19
Kalahandi,Odisha,38.84,18
Bokaro,Jharkhand,38.81,22
Jagatsinghapur,Odisha,38.77,19
Lawngtlai,Mizoram,38.75,18
Cuttack,Odisha,38.73,19
West,NCT of Delhi,38.72,22
Charaideo,Assam,38.71,22
Phek,Nagaland,38.71,18
Tapi,Gujarat,38.68,19
Yamunanagar,Haryana,38.65,19
Sitapur,Uttar Pradesh,38.63,22
Hojai,Assam,38.63,19
Tuensang,Nagaland,38.63,19
Senapati,Manipur,38.6,19
Medak,Telangana,38.59,22
Ranchi,Jharkhand,38.57,18
Almora,Uttarakhand,38.53,19
Karbi Anglong,Assam,38.48,19
Mancherial,Telangana,38.42,19
Anuppur,Madhya Pradesh,38.36,18
Gopalganj,Bihar,38.32,22
Hamirpur,Himachal Pradesh,38.28,18
Sabar Kantha,Gujarat,38.26,22
Budaun,Uttar Pradesh,38.26,22
Kapurthala,Punjab,38.24,19
Amethi,Uttar Pradesh,38.22,19
Khowai,Tripura,38.22,18
North,NCT of Delhi,38.18,22
Khammam,Telangana,38.17,19
Sepahijala,Tripura,38.1,19
Karimnagar,Telangana,38.1,22
Mathura,Uttar Pradesh,38.1,22
Banda,Uttar Pradesh,38.04,19
Mau,Uttar Pradesh,38.04,19
Shahdara,NCT of Delhi,38.02,19
Dakshina Kannada,Karnataka,37.95,18
Sheohar,Bihar,37.93,22
Mungeli,Chhattisgarh,37.92,18
Sundargarh,Odisha,37.91,19
Kushinagar,Uttar Pradesh,37.87,19
Dewas,Madhya Pradesh,37.84,22
Garhwal,Uttarakhand,37.82,18
Chandrapur,Maharastra,37.76,19
Ranga Reddy,Telangana,37.74,19
Erode,Tamil Nadu,37.72,18
Madhepura,Bihar,37.71,22
Shajapur,Madhya Pradesh,37.69,19
Golaghat,Assam,37.65,19
Lohardaga,Jharkhand,37.63,18
South West Garo Hills,Meghalaya,37.61,22
Longleng,Nagaland,37.6,19
Kendrapara,Odisha,37.57,22
Osmanabad,Maharastra,37.54,22
Jalandhar,Punjab,37.49,18
Solapur,Maharastra,37.43,22
Bilaspur,Chhattisgarh,37.43,19
Pithoragarh,Uttarakhand,37.42,18
Hugli,West Bengal,37.4,19
Baloda Bazar,Chhattisgarh,37.4,19
Gomati,Tripura,37.38,19
Sangli,Maharastra,37.35,18
Debagarh,Odisha,37.31,22
Gaya,Bihar,37.3,19
West Garo Hills,Meghalaya,37.27,19
Kokrajhar,Assam,37.26,19
Kra Daadi,Arunachal Pradesh,37.23,18
Tumkur,Karnataka,37.16,18
Aurangabad,Maharastra,37.11,22
Mamit,Mizoram,37.09,18
Alirajpur,Madhya Pradesh,37.08,18
