"Company Name","Financial Year",PSU/Non-PSU,"CSR State","CSR Development Sector","CSR Sub Development Sector","Project Amount Spent (In INR Cr.)"
"PYRAMID INFRATECH PRIVATE LIMITED","FY 2024-25",Non-PSU,Haryana,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.15
"SHIVAM CONDEV PRIVATE LIMITED","FY 2024-25",Non-PSU,Odisha,"Conservation of natural resources","Environment, Animal Welfare, Conservation Of Resources",0.4707186
"AVINASH CARRIER PRIVATE LIMITED","FY 2024-25",Non-PSU,Maharashtra,Education,"Education, Differently Abled, Livelihood",0.014835
"V. K. PACKWELL PRIVATE LIMITED","FY 2024-25",Non-PSU,"Uttar Pradesh",Education,"Education, Differently Abled, Livelihood",0.0309887
"SARAVANA STORES CELEBRITY PRIVATE LIMITED","FY 2024-25",Non-PSU,"Tamil Nadu",Education,"Education, Differently Abled, Livelihood",0.0125
"NSL SUGARS LIMITED","FY 2024-25",Non-PSU,Karnataka,"Safe drinking water","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.012707
"TENNECO AUTOMOTIVE INDIA PRIVATE LIMITED","FY 2024-25",Non-PSU,Haryana,Education,"Education, Differently Abled, Livelihood",0.695083
"DINDIGUL STEEL ROLLING MILLS PRIVATE LIMITED","FY 2024-25",Non-PSU,"Tamil Nadu","Special education","Education, Differently Abled, Livelihood",0.01
"SPARSH BIO-TECH PRIVATE LIMITED","FY 2024-25",Non-PSU,Gujarat,Education,"Education, Differently Abled, Livelihood",0.675
"SUMEET INFRAVENTURES PRIVATE LIMITED","FY 2024-25",Non-PSU,Chhattisgarh,Education,"Education, Differently Abled, Livelihood",0.063
"ALCON ELECTRONICS PRIVATE LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.12
"PRIMEGOLD STEEL AND POWER LIMITED","FY 2024-25",Non-PSU,"Himachal Pradesh",Education,"Education, Differently Abled, Livelihood",0.0033
"TIDEL PARK LIMITED","FY 2024-25",Non-PSU,"Tamil Nadu",Education,"Education, Differently Abled, Livelihood",0.0701631
"ARCHEAN MARBLES AND TILES PRIVATE LIMITED","FY 2024-25",Non-PSU,Telangana,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.22
"SHREYAS SORTEX INDUSTRIES PRIVATE LIMITED","FY 2024-25",Non-PSU,Gujarat,"Poverty, Eradicating Hunger, Malnutrition","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.42
"BABA HANS CONSTRUCTIONS PRIVATE LIMITED","FY 2024-25",Non-PSU,Gujarat,"Art and culture","Heritage Art And Culture",0.2
"DEV SALT PRIVATE LIMITED","FY 2024-25",Non-PSU,Gujarat,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0525625
"SHREE OM LAKSHMINARAYANA INFRATECH PRIVATE LIMITED","FY 2024-25",Non-PSU,Odisha,"Rural development projects","Rural Development",0.23977354500000003
"ORBIT TIRUPATI TOWERS PRIVATE LIMITED","FY 2024-25",Non-PSU,"West Bengal","Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.01
"GRT JEWELLERS (INDIA) PRIVATE LIMITED","FY 2024-25",Non-PSU,"Tamil Nadu",Education,"Education, Differently Abled, Livelihood",0.15
"VMSALGAOCAR CORPORATION PRIVATE LIMITED","FY 2024-25",Non-PSU,Goa,Education,"Education, Differently Abled, Livelihood",0.45
"SSZ COMMODITIES PRIVATE LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Conservation of natural resources","Environment, Animal Welfare, Conservation Of Resources",0.08
"RAVIN INFRAPROJECT PRIVATE LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.1
"VKC NUTS PRIVATE LIMITED","FY 2024-25",Non-PSU,Maharashtra,Education,"Education, Differently Abled, Livelihood",0.02
"BRETT ENTERPRISES PRIVATE LIMITED","FY 2024-25",Non-PSU,Rajasthan,"Environmental sustainability","Environment, Animal Welfare, Conservation Of Resources",1.43
"RASHMI SPONGE IRON AND POWER INDUSTRIES PRIVATE LIMITED","FY 2024-25",Non-PSU,Chhattisgarh,Education,"Education, Differently Abled, Livelihood",0.0837289
"HIMALAYAN ENDEAVOUR PVT LTD","FY 2024-25",Non-PSU,"West Bengal","Rural development projects","Rural Development",0.075
"SAHYADRI STARCH AND INDUSTRIES PRIVATE LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0025
"SBL ENERGY LIMITED","FY 2024-25",Non-PSU,Chhattisgarh,"Art and culture","Heritage Art And Culture",0.27
"SUYASH OUTSOURCING PRIVATE LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Rural development projects","Rural Development",2.0
"ALPINE DISTILLERIES PRIVATE LIMITED","FY 2024-25",Non-PSU,"West Bengal","Special education","Education, Differently Abled, Livelihood",0.0064443
"SHOE VARIANTS PRIVATE LIMITED","FY 2024-25",Non-PSU,Punjab,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.025225
"BANSIDHAR BADRIDASS MODI PVT LTD","FY 2024-25",Non-PSU,"West Bengal","Art and culture","Heritage Art And Culture",0.0075
"CINEPLEX PRIVATE LIMITED","FY 2024-25",Non-PSU,Karnataka,Education,"Education, Differently Abled, Livelihood",0.015
